,year,county code,January,February,March,April,May,June,July,August,September,October,November,December
0,2017,057,26.44,23.27,6.55,9.37,0.8,0.65,0.01,0.2,0.89,0.95,12.54,0.92
0,2018,057,8.09,1.35,15.52,5.49,2.13,0.14,0.07,0.0,0.02,0.89,7.25,4.41
0,2019,057,12.94,21.56,7.97,3.29,5.76,0.46,0.04,0.02,2.33,0.14,2.15,10.26
0,2020,057,4.42,0.16,6.71,3.85,3.13,0.26,0.1,0.06,0.01,0.01,4.37,4.34
0,2021,057,6.71,3.77,3.71,0.59,0.43,0.07,0.13,0.03,0.83,13.47,2.36,16.36
0,2022,057,0.97,0.58,1.44,6.38,0.6,1.39,0.01,0.21,1.63,0.09,4.49,-9.99
0,2015,059,0.84,0.58,0.65,0.22,1.01,0.02,0.19,0.01,0.96,0.38,0.26,0.79
0,2016,059,2.54,0.39,1.21,0.29,0.25,0.02,0.0,0.0,0.04,0.63,1.2,4.35
0,2017,059,8.31,3.92,0.13,0.07,0.39,0.0,0.01,0.18,0.1,0.0,0.05,0.04
0,2018,059,1.7,0.32,1.81,0.03,0.13,0.0,0.01,0.0,0.0,0.85,1.37,2.57
0,2019,059,5.07,6.3,1.97,0.13,0.85,0.02,0.02,0.0,0.02,0.0,2.63,4.23
0,2020,059,0.23,0.34,3.84,3.39,0.09,0.05,0.0,0.0,0.0,0.01,0.36,1.26
0,2021,059,1.87,0.05,1.52,0.02,0.07,0.0,0.07,0.03,0.05,0.54,0.0,5.17
0,2022,059,0.07,0.21,1.09,0.21,0.01,0.06,0.01,0.02,0.42,0.29,1.97,-9.99
0,2015,061,0.12,6.73,0.75,3.23,1.93,0.77,0.3,0.06,0.15,1.83,4.98,10.15
0,2016,061,12.37,2.12,12.08,3.4,2.18,0.08,0.0,0.04,0.06,10.95,4.25,9.75
0,2017,061,25.03,21.21,6.08,7.91,1.08,0.56,0.01,0.27,0.91,0.85,11.12,0.81
0,2018,061,7.27,1.36,15.13,5.05,2.13,0.06,0.09,0.01,0.02,0.9,6.3,4.1
0,2019,061,11.64,20.49,7.68,2.71,5.48,0.23,0.03,0.01,1.72,0.13,2.09,9.61
0,2020,061,3.79,0.13,6.63,3.52,2.5,0.27,0.06,0.07,0.01,0.02,4.11,3.84
