date,demand
20221101T16Z,30131
20221101T15Z,28779
20221101T14Z,26648
20221101T13Z,25134
20221101T12Z,24975
20221101T11Z,24985
20221101T10Z,25218
20221101T09Z,25673
20221101T08Z,26676
20221101T07Z,28131
20221101T06Z,29937
20221101T05Z,29738
20221101T04Z,31153
20221101T03Z,31837
20221101T02Z,31623
20221101T01Z,30814
20221101T00Z,30638
20221031T23Z,30502
20221031T22Z,30609
20221031T21Z,30080
20221031T20Z,30154
20221031T19Z,30357
20221031T18Z,30120
20221031T17Z,29686
20221031T16Z,29813
20221031T15Z,28719
20221031T14Z,26178
20221031T13Z,24563
20221031T12Z,24230
20221031T11Z,24380
20221031T10Z,24543
20221031T09Z,25182
20221031T08Z,26078
20221031T07Z,26919
20221031T06Z,28341
20221031T05Z,28648
20221031T04Z,30266
20221031T03Z,30570
20221031T02Z,29222
20221031T01Z,27364
20221031T00Z,25651
20221030T23Z,24755
20221030T22Z,24303
20221030T21Z,24025
20221030T20Z,23950
20221030T19Z,24411
20221030T18Z,25050
20221030T17Z,25023
20221030T16Z,25305
20221030T15Z,24832
20221030T14Z,23931
20221030T13Z,23680
20221030T12Z,23699
20221030T11Z,23946
20221030T10Z,24636
20221030T09Z,25426
20221030T08Z,26366
20221030T07Z,27275
20221030T06Z,27797
20221030T05Z,28627
20221030T04Z,29447
20221030T03Z,29961
20221030T02Z,28742
20221030T01Z,27191
20221030T00Z,25576
20221029T23Z,24602
20221029T22Z,24658
20221029T21Z,24951
20221029T20Z,25282
20221029T19Z,25988
20221029T18Z,26686
20221029T17Z,26495
20221029T16Z,26837
20221029T15Z,26066
20221029T14Z,25160
20221029T13Z,24739
20221029T12Z,24663
20221029T11Z,25018
20221029T10Z,25672
20221029T09Z,26456
20221029T08Z,27393
20221029T07Z,28794
20221029T06Z,30225
20221029T05Z,31128
20221029T04Z,31572
20221029T03Z,31956
20221029T02Z,30913
20221029T01Z,29917
20221029T00Z,29601
20221028T23Z,29318
20221028T22Z,29227
20221028T21Z,28892
20221028T20Z,29068
20221028T19Z,29303
20221028T18Z,29793
20221028T17Z,29828
20221028T16Z,30526
20221028T15Z,29283
20221028T14Z,27112
20221028T13Z,25680
20221028T12Z,25440
20221028T11Z,25584
20221028T10Z,25959
20221028T09Z,26148
20221028T08Z,26924
20221028T07Z,28530
20221028T06Z,30286
20221028T05Z,30935
20221028T04Z,31989
20221028T03Z,32845
20221028T02Z,32090
20221028T01Z,30620
20221028T00Z,29387
20221027T23Z,29055
20221027T22Z,28296
20221027T21Z,27884
20221027T20Z,28446
20221027T19Z,28894
20221027T18Z,29546
20221027T17Z,30215
20221027T16Z,30378
20221027T15Z,28933
20221027T14Z,26696
20221027T13Z,25159
20221027T12Z,24548
20221027T11Z,24603
20221027T10Z,25027
20221027T09Z,25889
20221027T08Z,26724
20221027T07Z,28370
20221027T06Z,30151
20221027T05Z,31534
20221027T04Z,32697
20221027T03Z,33003
20221027T02Z,31833
20221027T01Z,30284
20221027T00Z,28475
20221026T23Z,27409
20221026T22Z,26972
20221026T21Z,26948
20221026T20Z,27694
20221026T19Z,28720
20221026T18Z,30249
20221026T17Z,30255
20221026T16Z,30167
20221026T15Z,28911
20221026T14Z,26781
20221026T13Z,25220
20221026T12Z,24897
20221026T11Z,25355
20221026T10Z,25354
20221026T09Z,26249
20221026T08Z,27193
20221026T07Z,28619
20221026T06Z,30236
20221026T05Z,31377
20221026T04Z,32455
20221026T03Z,32800
20221026T02Z,31734
20221026T01Z,30321
20221026T00Z,28893
20221025T23Z,27944
20221025T22Z,27589
20221025T21Z,27739
20221025T20Z,27719
20221025T19Z,28055
20221025T18Z,28754
20221025T17Z,29663
20221025T16Z,30355
20221025T15Z,29018
20221025T14Z,26959
20221025T13Z,25431
20221025T12Z,24969
20221025T11Z,24819
20221025T10Z,25521
20221025T09Z,26218
20221025T08Z,27031
20221025T07Z,28545
20221025T06Z,29958
20221025T05Z,31355
20221025T04Z,32514
20221025T03Z,33009
20221025T02Z,31983
20221025T01Z,30192
20221025T00Z,28541
20221024T23Z,27486
20221024T22Z,26728
20221024T21Z,26846
20221024T20Z,27401
20221024T19Z,28556
20221024T18Z,29483
20221024T17Z,30304
20221024T16Z,29813
20221024T15Z,28226
20221024T14Z,26071
20221024T13Z,24713
20221024T12Z,23857
20221024T11Z,23999
20221024T10Z,24494
20221024T09Z,24971
20221024T08Z,25537
20221024T07Z,26611
20221024T06Z,27897
20221024T05Z,28189
20221024T04Z,29701
20221024T03Z,29638
20221024T02Z,28048
20221024T01Z,25746
20221024T00Z,23569
20221023T23Z,22583
20221023T22Z,22057
20221023T21Z,22058
20221023T20Z,22765
20221023T19Z,23690
20221023T18Z,24586
20221023T17Z,25127
20221023T16Z,25396
20221023T15Z,24704
20221023T14Z,24157
20221023T13Z,23970
20221023T12Z,24026
20221023T11Z,24369
20221023T10Z,24922
20221023T09Z,25804
20221023T08Z,26475
20221023T07Z,27445
20221023T06Z,28435
20221023T05Z,28583
20221023T04Z,30152
20221023T03Z,30322
20221023T02Z,29302
20221023T01Z,28416
20221023T00Z,26985
20221022T23Z,26512
20221022T22Z,26239
20221022T21Z,26560
20221022T20Z,27367
20221022T19Z,28135
20221022T18Z,28773
20221022T17Z,28701
20221022T16Z,27876
20221022T15Z,27159
20221022T14Z,26440
20221022T13Z,25748
20221022T12Z,25768
20221022T11Z,26379
20221022T10Z,27127
20221022T09Z,28294
20221022T08Z,29521
20221022T07Z,30474
20221022T06Z,32002
20221022T05Z,32617
20221022T04Z,34515
20221022T03Z,35531
20221022T02Z,35777
