,date,demand,emissions
777,20221026T14Z,26781,37218
778,20221026T13Z,25220,43471
779,20221026T12Z,24897,49411
780,20221026T11Z,25355,58873
781,20221026T10Z,25354,66637
782,20221026T09Z,26249,69419
783,20221026T08Z,27193,92974
784,20221026T07Z,28619,93400
785,20221026T06Z,30236,89918
786,20221026T05Z,31377,85279
787,20221026T04Z,32455,86055
788,20221026T03Z,32800,88780
789,20221026T02Z,31734,85207
790,20221026T01Z,30321,88509
792,20221025T23Z,27944,95696
793,20221025T22Z,27589,100646
794,20221025T21Z,27739,102561
795,20221025T20Z,27719,103805
796,20221025T19Z,28055,103973
797,20221025T18Z,28754,90211
798,20221025T17Z,29663,63162
799,20221025T16Z,30355,47995
800,20221025T15Z,29018,46274
801,20221025T14Z,26959,46219
802,20221025T13Z,25431,48614
803,20221025T12Z,24969,47501
804,20221025T11Z,24819,51004
805,20221025T10Z,25521,57572
806,20221025T09Z,26218,79032
807,20221025T08Z,27031,104090
808,20221025T07Z,28545,103358
809,20221025T06Z,29958,99149
810,20221025T05Z,31355,95356
811,20221025T04Z,32514,95315
812,20221025T03Z,33009,92253
813,20221025T02Z,31983,95682
814,20221025T01Z,30192,97239
816,20221024T23Z,27486,104098
817,20221024T22Z,26728,104221
818,20221024T21Z,26846,108733
819,20221024T20Z,27401,112797
820,20221024T19Z,28556,113557
821,20221024T18Z,29483,98227
822,20221024T17Z,30304,68844
823,20221024T16Z,29813,53447
824,20221024T15Z,28226,47907
825,20221024T14Z,26071,46218
826,20221024T13Z,24713,48060
827,20221024T12Z,23857,49768
828,20221024T11Z,23999,56019
829,20221024T10Z,24494,65245
830,20221024T09Z,24971,81591
831,20221024T08Z,25537,102046
832,20221024T07Z,26611,101219
833,20221024T06Z,27897,96358
834,20221024T05Z,28189,94395
835,20221024T04Z,29701,89584
836,20221024T03Z,29638,92286
837,20221024T02Z,28048,94242
838,20221024T01Z,25746,91885
840,20221023T23Z,22583,92009
841,20221023T22Z,22057,89978
842,20221023T21Z,22058,87303
843,20221023T20Z,22765,84300
844,20221023T19Z,23690,79960
845,20221023T18Z,24586,69351
846,20221023T17Z,25127,38823
847,20221023T16Z,25396,22029
848,20221023T15Z,24704,18863
849,20221023T14Z,24157,19686
850,20221023T13Z,23970,22042
851,20221023T12Z,24026,27106
852,20221023T11Z,24369,27165
853,20221023T10Z,24922,34149
854,20221023T09Z,25804,53507
855,20221023T08Z,26475,81423
856,20221023T07Z,27445,85213
857,20221023T06Z,28435,84035
858,20221023T05Z,28583,85198
859,20221023T04Z,30152,86117
860,20221023T03Z,30322,84491
861,20221023T02Z,29302,87965
862,20221023T01Z,28416,88714
864,20221022T23Z,26512,88159
865,20221022T22Z,26239,86446
866,20221022T21Z,26560,86316
867,20221022T20Z,27367,89538
868,20221022T19Z,28135,86153
869,20221022T18Z,28773,77627
870,20221022T17Z,28701,57828
871,20221022T16Z,27876,38567
872,20221022T15Z,27159,30078
873,20221022T14Z,26440,31343
874,20221022T13Z,25748,35755
875,20221022T12Z,25768,39831
876,20221022T11Z,26379,45094
877,20221022T10Z,27127,54779
878,20221022T09Z,28294,69639
879,20221022T08Z,29521,89413
880,20221022T07Z,30474,92836
881,20221022T06Z,32002,92738
882,20221022T05Z,32617,88826
883,20221022T04Z,34515,88555
884,20221022T03Z,35531,91562
885,20221022T02Z,35777,93782
886,20221022T01Z,35684,97513
888,20221021T23Z,33607,96127
889,20221021T22Z,32257,98541
890,20221021T21Z,31518,103809
891,20221021T20Z,31482,105632
892,20221021T19Z,31884,105163
893,20221021T18Z,32433,97403
894,20221021T17Z,31954,79642
895,20221021T16Z,31257,67268
896,20221021T15Z,29892,60719
897,20221021T14Z,27963,59004
898,20221021T13Z,27130,60284
899,20221021T12Z,27137,64070
900,20221021T11Z,27466,68408
901,20221021T10Z,27971,76333
902,20221021T09Z,29077,92666
903,20221021T08Z,29916,108383
904,20221021T07Z,31933,103544
905,20221021T06Z,34074,100035
906,20221021T05Z,35170,101300
907,20221021T04Z,37721,103997
908,20221021T03Z,38864,106608
