,date,demand,emissions,registered EVs
451,20221109T04Z,33705,6980,test
452,20221109T03Z,33954,7131,test
453,20221109T02Z,32739,7235,test
454,20221109T01Z,31614,7229,test
455,20221109T00Z,31288,7816,test
456,20221108T23Z,31631,8110,test
457,20221108T22Z,32512,8217,test
458,20221108T21Z,32416,8523,test
459,20221108T20Z,32564,8778,test
460,20221108T19Z,32576,8955,test
461,20221108T18Z,32000,8872,test
462,20221108T17Z,31368,8161,test
463,20221108T16Z,29571,7074,test
464,20221108T15Z,27361,6741,test
465,20221108T14Z,25700,6442,test
466,20221108T13Z,25179,6793,test
467,20221108T12Z,25341,7266,test
468,20221108T11Z,25267,7253,test
469,20221108T10Z,25929,7530,test
470,20221108T09Z,26765,6986,test
471,20221108T08Z,28136,7960,test
472,20221108T07Z,29722,8282,test
473,20221108T06Z,30968,7745,test
474,20221108T05Z,32046,7274,test
475,20221108T04Z,32886,7544,test
476,20221108T03Z,33336,7681,test
477,20221108T02Z,32187,7495,test
478,20221108T01Z,31060,7546,test
479,20221108T00Z,30367,7674,test
480,20221107T23Z,29821,8188,test
481,20221107T22Z,29975,8755,test
482,20221107T21Z,29971,9092,test
483,20221107T20Z,29746,9074,test
484,20221107T19Z,29790,9098,test
485,20221107T18Z,29742,9155,test
486,20221107T17Z,30019,8802,test
487,20221107T16Z,28649,7335,test
488,20221107T15Z,26538,6205,test
489,20221107T14Z,24926,6131,test
490,20221107T13Z,24459,6217,test
491,20221107T12Z,24396,6252,test
492,20221107T11Z,24751,6102,test
493,20221107T10Z,25374,6071,test
494,20221107T09Z,25525,6098,test
495,20221107T08Z,26708,7175,test
496,20221107T07Z,28084,7737,test
497,20221107T06Z,29303,7541,test
498,20221107T05Z,29906,7169,test
499,20221107T04Z,30390,7268,test
500,20221107T03Z,30365,7192,test
501,20221107T02Z,28256,7518,test
502,20221107T01Z,26169,7225,test
503,20221107T00Z,25028,6762,test
504,20221106T23Z,24021,7656,test
505,20221106T22Z,23777,8208,test
506,20221106T21Z,24193,8442,test
507,20221106T20Z,24641,8643,test
508,20221106T19Z,24897,8602,test
509,20221106T18Z,26003,8516,test
510,20221106T17Z,25613,7405,test
511,20221106T16Z,24565,5484,test
512,20221106T15Z,23688,3545,test
513,20221106T14Z,23336,3540,test
514,20221106T13Z,23370,3545,test
515,20221106T12Z,23162,4220,test
516,20221106T11Z,23440,4587,test
517,20221106T10Z,23950,4085,test
518,20221106T09Z,24761,5050,test
519,20221106T08Z,25766,5748,test
520,20221106T07Z,27247,6271,test
521,20221106T06Z,28405,6285,test
522,20221106T05Z,28310,6225,test
523,20221106T04Z,28693,6477,test
524,20221106T03Z,29714,6209,test
525,20221106T02Z,28505,6352,test
526,20221106T01Z,27397,6675,test
527,20221106T00Z,25904,7161,test
528,20221105T23Z,24953,7345,test
529,20221105T22Z,24909,7737,test
530,20221105T21Z,25020,7762,test
531,20221105T20Z,25224,7522,test
532,20221105T19Z,25944,7671,test
533,20221105T18Z,27054,7297,test
534,20221105T17Z,27376,6356,test
535,20221105T16Z,26980,4884,test
536,20221105T15Z,26034,4190,test
537,20221105T14Z,24981,4034,test
538,20221105T13Z,24742,4264,test
539,20221105T12Z,24866,3983,test
540,20221105T11Z,24768,3949,test
541,20221105T10Z,25536,4201,test
542,20221105T09Z,26091,5619,test
543,20221105T08Z,26858,6492,test
544,20221105T07Z,28299,7157,test
545,20221105T06Z,29722,7063,test
546,20221105T05Z,30580,7105,test
547,20221105T04Z,31328,7608,test
548,20221105T03Z,31530,7253,test
549,20221105T02Z,30158,7546,test
550,20221105T01Z,28610,7328,test
551,20221105T00Z,27673,7645,test
552,20221104T23Z,27609,7930,test
553,20221104T22Z,27933,8214,test
554,20221104T21Z,28569,8542,test
555,20221104T20Z,29235,8725,test
556,20221104T19Z,30703,8716,test
557,20221104T18Z,31434,8310,test
558,20221104T17Z,31893,7275,test
559,20221104T16Z,31842,5337,test
560,20221104T15Z,29857,4456,test
561,20221104T14Z,27224,4581,test
562,20221104T13Z,26035,4848,test
563,20221104T12Z,25645,4967,test
564,20221104T11Z,25763,5273,test
565,20221104T10Z,26095,5707,test
566,20221104T09Z,26842,6855,test
567,20221104T08Z,27383,9068,test
568,20221104T07Z,28656,8970,test
569,20221104T06Z,30142,8192,test
570,20221104T05Z,31314,7933,test
571,20221104T04Z,32233,8021,test
572,20221104T03Z,32243,8100,test
573,20221104T02Z,30363,8005,test
574,20221104T01Z,28331,8521,test
575,20221104T00Z,26792,8360,test
576,20221103T23Z,26743,8572,test
577,20221103T22Z,26812,8550,test
578,20221103T21Z,27562,8843,test
579,20221103T20Z,28024,8455,test
580,20221103T19Z,28670,8404,test
581,20221103T18Z,29840,7395,test
582,20221103T17Z,30779,6002,test
583,20221103T16Z,31051,3835,test
584,20221103T15Z,29320,3885,test
585,20221103T14Z,26626,3976,test
586,20221103T13Z,24936,4242,test
587,20221103T12Z,24711,4113,test
588,20221103T11Z,24701,4270,test
589,20221103T10Z,25069,5170,test
590,20221103T09Z,25789,6285,test
591,20221103T08Z,26926,7936,test
592,20221103T07Z,28618,7842,test
593,20221103T06Z,30225,6703,test
594,20221103T05Z,30639,6041,test
