,date,demand,emissions
1351,20221002T16Z,26229,44473
1352,20221002T15Z,25947,32739
1353,20221002T14Z,25011,26319
1354,20221002T13Z,24641,25492
1355,20221002T12Z,24779,29514
1356,20221002T11Z,25273,31453
1357,20221002T10Z,26158,38436
1368,20221001T23Z,30878,87077
1369,20221001T22Z,29525,91047
1370,20221001T21Z,28688,95045
1371,20221001T20Z,28334,98908
1372,20221001T19Z,28708,97407
1373,20221001T18Z,29534,76372
1374,20221001T17Z,28636,57745
1375,20221001T16Z,27650,48041
1376,20221001T15Z,27030,40032
1377,20221001T14Z,26158,39285
1378,20221001T13Z,25767,39280
1379,20221001T12Z,25925,40220
1380,20221001T11Z,26512,43433
1381,20221001T10Z,27566,50857
1392,20220930T23Z,37670,87077
1393,20220930T22Z,35784,91047
1394,20220930T21Z,35141,95045
1395,20220930T20Z,35024,98908
1396,20220930T19Z,34724,97407
1397,20220930T18Z,34578,76372
1398,20220930T17Z,33697,57745
1399,20220930T16Z,32323,48041
1400,20220930T15Z,30814,40032
1401,20220930T14Z,28727,39285
1402,20220930T13Z,27437,39280
1403,20220930T12Z,27197,40220
1404,20220930T11Z,27553,43433
1405,20220930T10Z,28534,50857
1416,20220929T23Z,40973,87077
1417,20220929T22Z,39314,91047
1418,20220929T21Z,37844,95045
1419,20220929T20Z,36955,98908
1420,20220929T19Z,36064,97407
1421,20220929T18Z,35160,76372
1422,20220929T17Z,34287,57745
1423,20220929T16Z,32674,48041
1424,20220929T15Z,31324,40032
1425,20220929T14Z,29284,39285
1426,20220929T13Z,28097,39280
1427,20220929T12Z,27965,40220
1428,20220929T11Z,28940,43433
1429,20220929T10Z,29790,50857
1440,20220928T23Z,43328,87077
1441,20220928T22Z,41378,91047
1442,20220928T21Z,39237,95045
1443,20220928T20Z,37314,98908
1444,20220928T19Z,36067,97407
1445,20220928T18Z,35534,76372
1446,20220928T17Z,34014,57745
1447,20220928T16Z,33290,48041
1448,20220928T15Z,31804,40032
1449,20220928T14Z,29801,39285
1450,20220928T13Z,28415,39280
1451,20220928T12Z,28223,40220
1452,20220928T11Z,28814,43433
1453,20220928T10Z,29965,50857
1464,20220927T23Z,43182,109235
